date,meantemp,humidity,wind_speed,meanpressure,meantemp_lag_1,meantemp_lag_2,meantemp_lag_3,meantemp_lag_7,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_7,wind_speed_lag_1,wind_speed_lag_2,wind_speed_lag_3,wind_speed_lag_7,meanpressure_lag_1,meanpressure_lag_2,meanpressure_lag_3,meanpressure_lag_7,temp_roll_mean_7,temp_roll_std_7,temp_roll_mean_14,temp_roll_std_14,sin_day,cos_day,temp_humidity_index,temp_change_7d,wind_pressure_index
2013-01-15,14.714285714285714,71.85714285714286,0.4243335924125472,1015.8571428571428,12.833333333333334,15.833333333333334,14.0,8.857142857142858,88.16666666666667,75.16666666666667,74.0,63.71428571428572,0.4803664162812822,1.7287013332609182,2.6552520155352393,2.097141118779237,1015.1666666666666,1013.3333333333334,1015.5714285714286,1018.7142857142856,13.17687074829932,1.260941137951787,10.390816326530611,1.4996397505921377,0.2551824131233728,0.966892928939152,9.221666666666668,5.857142857142856,0.4876519735948816
2013-01-16,13.833333333333334,86.66666666666667,0.0,1016.6666666666666,14.714285714285714,12.833333333333334,15.833333333333334,14.0,71.85714285714286,88.16666666666667,75.16666666666667,51.25,0.4243335924125472,0.4803664162812822,1.7287013332609182,2.6026896854443837,1015.8571428571428,1015.1666666666666,1013.3333333333334,1017.0,14.01360544217687,0.9901512355028361,10.727551020408162,1.539581912121214,0.2717767384711357,0.9623603298276544,12.752380952380951,-0.16666666666666607,0.4310623108065175
2013-01-17,16.5,80.83333333333333,1.8325814637483102,1015.8333333333334,13.833333333333334,14.714285714285714,12.833333333333334,11.0,86.66666666666667,71.85714285714286,88.16666666666667,62.0,0.0,0.4243335924125472,0.4803664162812822,2.128231705849268,1016.6666666666666,1015.8571428571428,1015.1666666666666,1015.6666666666666,13.989795918367347,0.9906696449689325,11.187074829931973,1.5295982228526153,0.2882906407095177,0.957542952811672,11.181944444444444,5.5,0.0
2013-01-18,13.833333333333334,92.16666666666669,2.2975725511705014,1014.5,16.5,13.833333333333334,14.714285714285714,15.714285714285714,80.83333333333333,86.66666666666667,71.85714285714286,51.285714285714285,1.8325814637483102,0.0,0.4243335924125472,2.4485390056171252,1015.8333333333334,1016.6666666666666,1015.8571428571428,1016.1428571428572,14.77551020408163,0.8356596917440376,11.85374149659864,1.5428540224986704,0.3047192331091634,0.9524422234305676,15.207500000000003,-1.8809523809523796,1.8615973369243253
2013-01-19,12.5,76.66666666666667,1.929103030738932,1021.6666666666666,13.833333333333334,16.5,13.833333333333334,14.0,92.16666666666669,80.83333333333333,86.66666666666667,74.0,2.2975725511705014,1.8325814637483102,0.0,2.6552520155352393,1014.5,1015.8333333333334,1016.6666666666666,1015.5714285714286,14.506802721088436,0.8215859231969933,12.222789115646256,1.5242573735345541,0.321057654185271,0.9470596510722284,10.605555555555556,-1.5,2.3308873531624736
2013-01-20,11.285714285714286,75.28571428571429,2.2482797481365036,1020.2857142857144,12.5,13.833333333333334,16.5,15.833333333333334,76.66666666666667,92.16666666666669,80.83333333333333,75.16666666666667,1.929103030738932,2.2975725511705014,1.8325814637483102,1.7287013332609182,1021.6666666666666,1014.5,1015.8333333333334,1013.3333333333334,14.292517006802722,0.9093154973502382,12.687074829931973,1.414341669450715,0.3373010691361842,0.9413968285264122,9.410714285714286,-4.5476190476190474,1.9709002630716088
2013-01-21,11.2,77.0,1.169381359556317,1021.0,11.285714285714286,12.5,13.833333333333334,12.833333333333334,75.28571428571429,76.66666666666667,92.16666666666669,88.16666666666667,2.2482797481365036,1.929103030738932,2.2975725511705014,0.4803664162812822,1020.2857142857144,1021.6666666666666,1014.5,1015.1666666666666,13.642857142857142,0.9852047930939573,12.993197278911564,1.3067202851625594,0.3534446712740877,0.9354554315134164,8.690000000000001,-1.6333333333333346,2.2938877087415586
2013-01-22,9.5,79.66666666666667,1.4069136483226263,1021.8,11.2,11.285714285714286,12.5,14.714285714285714,77.0,75.28571428571429,76.66666666666667,71.85714285714286,1.169381359556317,2.2482797481365036,1.929103030738932,0.4243335924125472,1021.0,1020.2857142857144,1021.6666666666666,1015.8571428571428,13.409523809523808,1.0673106465128728,13.293197278911563,1.1490833949347765,0.3694836834473831,0.9292372181882051,8.922666666666666,-5.2142857142857135,1.1939383681069997
2013-01-23,14.0,60.16666666666666,1.612765702526775,1020.5,9.5,11.2,11.285714285714286,13.833333333333334,79.66666666666667,77.0,75.28571428571429,86.66666666666667,1.4069136483226263,1.169381359556317,2.2482797481365036,0.0,1021.8,1021.0,1020.2857142857144,1016.6666666666666,12.664625850340135,1.1916139897605749,13.339115646258504,1.1178198861444653,0.3854133594543256,0.9227440286201428,5.715833333333332,0.16666666666666607,1.4375843658560596
2013-01-24,13.833333333333334,60.66666666666666,1.9694406464655074,1020.5,14.0,9.5,11.2,16.5,60.16666666666666,79.66666666666667,77.0,80.83333333333333,1.612765702526775,1.4069136483226263,1.169381359556317,1.8325814637483102,1020.5,1021.8,1021.0,1015.8333333333334,12.68843537414966,1.1961530325184349,13.339115646258504,1.1178198861444653,0.4012289854475009,0.9159777842484876,8.493333333333332,-2.666666666666666,1.645827399428574
2013-01-25,12.25,67.0,1.8794650496471605,1020.75,13.833333333333334,14.0,9.5,13.833333333333334,60.66666666666666,60.16666666666666,79.66666666666667,92.16666666666669,1.9694406464655074,1.612765702526775,1.4069136483226263,2.2975725511705014,1020.5,1020.5,1021.8,1014.5,12.30748299319728,0.9999224018440694,13.541496598639457,1.080708664929376,0.4169258813287287,0.908940487313808,9.268333333333334,-1.583333333333334,2.00981417971805
2013-01-26,12.666666666666666,64.16666666666667,2.0541237336955462,1019.6666666666666,12.25,13.833333333333334,14.0,12.5,67.0,60.66666666666666,60.16666666666666,76.66666666666667,1.8794650496471605,1.9694406464655074,1.612765702526775,1.929103030738932,1020.75,1020.5,1020.5,1021.6666666666666,12.081292517006805,0.9487929595642193,13.29404761904762,1.0535857161557847,0.4324994021339788,0.901634220265486,7.8604166666666675,0.16666666666666607,1.9184639494273392
2013-01-27,12.857142857142858,65.57142857142857,1.8805549680111862,1018.1428571428572,12.666666666666666,12.25,13.833333333333334,11.285714285714286,64.16666666666667,67.0,60.66666666666666,75.28571428571429,2.0541237336955462,1.8794650496471605,1.9694406464655074,2.2482797481365036,1019.6666666666666,1020.75,1020.5,1020.2857142857144,12.105102040816323,0.9521095667613801,13.198809523809524,1.051918342615001,0.4479449394078911,0.8940611451454876,8.305714285714286,1.5714285714285712,2.094521500458225
2013-01-28,14.833333333333334,56.0,1.547562508716013,1017.8333333333334,12.857142857142858,12.666666666666666,12.25,11.2,65.57142857142857,64.16666666666667,67.0,77.0,1.8805549680111862,2.0541237336955462,1.8794650496471605,1.169381359556317,1018.1428571428572,1019.6666666666666,1020.75,1021.0,12.329591836734693,0.9427254711811552,12.986224489795918,0.9940890142937561,0.4632579225674917,0.88622350294858,7.2,3.6333333333333346,1.9146736081451037
2013-01-29,14.125,65.5,1.4439734727065685,1016.625,14.833333333333334,12.857142857142858,12.666666666666666,9.5,56.0,65.57142857142857,64.16666666666667,79.66666666666667,1.547562508716013,1.8805549680111862,2.0541237336955462,1.4069136483226263,1017.8333333333334,1018.1428571428572,1019.6666666666666,1021.8,12.848639455782314,1.0022104817325341,13.129081632653063,1.019200528642924,0.4784338202547012,0.8781236129591848,9.715833333333334,4.625,1.5751607067881153
2013-01-30,14.714285714285714,70.42857142857143,0.7213180575266417,1017.8571428571428,14.125,14.833333333333334,12.857142857142858,14.0,65.5,56.0,65.57142857142857,60.16666666666666,1.4439734727065685,1.547562508716013,1.8805549680111862,1.612765702526775,1016.625,1017.8333333333334,1018.1428571428572,1020.5,13.509353741496598,0.6579705603545383,13.086989795918369,1.0068925731576126,0.4934681416772373,0.8697638720650646,9.948035714285714,0.7142857142857135,1.4679795316903153
